case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-01324,OFF-00399,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Chikkamagaluru,IG Road area,Weekend nights,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - commercial area; weekend nights,2024-09-16,Linked to known offender record,36-45,F,4,Repeat,Escalating frequency over last 6 months
CASE-00175,OFF-00051,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Kalaburagi,Jewargi Road area,Weekend nights,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; weekend nights,2025-06-19,Linked to known offender record,46-55,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-00172,OFF-00049,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Ballari,Gandhinagar,Evening rush (6-8 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; evening rush (6-8 pm),2024-01-28,Linked to known offender record,18-25,M,4,Repeat,Escalating frequency over last 6 months
CASE-01574,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Tumakuru,Ashoknagar,Midday (12-3 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; midday (12-3 pm),2024-07-16,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00431,OFF-00138,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bengaluru Urban,Koramangala,Weekend nights,Relay key attack,Relay key attack; target: Parked vehicle - street; weekend nights,2025-01-19,Linked to known offender record,46-55,F,6,Repeat,Single recorded case - insufficient pattern history
CASE-00819,OFF-00256,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Mangaluru (Dakshina Kannada),Hampankatta,Late night (11 PM-2 AM),Bag slit and remove,Bag slit and remove; target: Market crowd; late night (11 pm-2 am),2025-10-28,Linked to known offender record,18-25,M,1,First recorded instance,Escalating frequency over last 6 months
CASE-01779,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Chikkaballapur,MG Road area,Early morning (4-7 AM),Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; early morning (4-7 am),2025-12-07,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01864,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Kolar,Old Bus Stand area,Midday (12-3 PM),"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; midday (12-3 pm)",2025-12-29,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01179,OFF-00357,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chikkaballapur,Bus Stand area,Late night (11 PM-2 AM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; late night (11 pm-2 am)",2024-04-16,Linked to known offender record,18-25,M,6,Repeat,Single recorded case - insufficient pattern history
CASE-00351,OFF-00112,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Chamarajanagar,Kollegal Road area,Late night (11 PM-2 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; late night (11 pm-2 am)",2024-09-06,Linked to known offender record,18-25,M,4,Repeat,Alternates between two known methods
CASE-00187,OFF-00053,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Bagalkot,Old Bagalkot,Weekday mornings,Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; weekday mornings,2023-01-18,Linked to known offender record,46-55,M,5,Repeat,Escalating frequency over last 6 months
CASE-00822,OFF-00257,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Tumakuru,SS Puram,Midday (12-3 PM),SMS phishing link,SMS phishing link; target: First-time UPI user; midday (12-3 pm),2024-01-20,Linked to known offender record,26-35,F,6,Repeat,Alternates between two known methods
CASE-01275,OFF-00385,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Udupi,Manipal,Late night (11 PM-2 AM),Window grille cutting,Window grille cutting; target: Ground-floor apartment; late night (11 pm-2 am),2024-05-07,Linked to known offender record,36-45,F,6,Repeat,Escalating frequency over last 6 months
CASE-01860,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Hubballi-Dharwad,Old Hubballi,Evening rush (6-8 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; evening rush (6-8 pm)",2025-05-30,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01356,OFF-00412,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Chamarajanagar,Kollegal Road area,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2024-06-26,Linked to known offender record,26-35,F,2,Repeat,Consistent MO across all recorded cases
CASE-01911,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Udupi,Manipal,Early morning (4-7 AM),Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; early morning (4-7 am),2024-01-08,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01557,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Raichur,Old Town,Weekend nights,Tow-away theft,Tow-away theft; target: Parked vehicle - street; weekend nights,2023-04-21,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01814,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chikkamagaluru,MG Road area,Weekday mornings,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; weekday mornings,2023-04-11,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00880,OFF-00279,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Ramanagara,Bengaluru-Mysuru Highway area,Weekend nights,Window grille cutting,Window grille cutting; target: Ground-floor apartment; weekend nights,2023-04-16,Linked to known offender record,46-55,F,3,Repeat,Consistent MO across all recorded cases
CASE-01925,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Udupi,Malpe Road area,Late night (11 PM-2 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; late night (11 pm-2 am)",2023-12-31,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00927,OFF-00291,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Tumakuru,Kunigal Road area,Weekday mornings,Window grille cutting,Window grille cutting; target: Ground-floor apartment; weekday mornings,2025-11-11,Linked to known offender record,18-25,F,2,Repeat,Alternates between two known methods
CASE-00276,OFF-00084,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Raichur,Station Road area,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; midday (12-3 pm),2024-06-24,Linked to known offender record,36-45,F,5,Repeat,Escalating frequency over last 6 months
CASE-01300,OFF-00392,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Kalaburagi,Sedam Road area,Evening rush (6-8 PM),"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Vacant residence; evening rush (6-8 pm)",2023-11-21,Linked to known offender record,36-45,F,4,Repeat,Escalating frequency over last 6 months
CASE-00606,OFF-00189,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Ramanagara,Bengaluru-Mysuru Highway area,Early morning (4-7 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; early morning (4-7 am),2024-07-22,Linked to known offender record,36-45,M,2,Repeat,Long gap then resurgence with same MO
CASE-00438,OFF-00140,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bidar,New Bidar,Late night (11 PM-2 AM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; late night (11 pm-2 am)",2023-06-05,Linked to known offender record,56+,F,4,Repeat,Single recorded case - insufficient pattern history
CASE-01740,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Chikkamagaluru,Kalasapura,Late night (11 PM-2 AM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; late night (11 pm-2 am),2024-05-25,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00707,OFF-00223,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Haveri,Bypass Road area,Weekend nights,Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; weekend nights,2023-03-10,Linked to known offender record,46-55,F,2,Repeat,Escalating frequency over last 6 months
CASE-01843,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Bengaluru Rural,Nelamangala town,Weekend nights,"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; weekend nights",2023-11-28,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00499,OFF-00158,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Chitradurga,Basaveshwara Nagar,Early morning (4-7 AM),Impersonation as utility worker,Impersonation as utility worker; target: Ground-floor apartment; early morning (4-7 am),2025-07-18,Linked to known offender record,56+,F,3,Repeat,Escalating frequency over last 6 months
CASE-01038,OFF-00320,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Gadag,Betageri,Early morning (4-7 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; early morning (4-7 am),2024-08-26,Linked to known offender record,26-35,M,5,Repeat,Alternates between two known methods
CASE-01591,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Gadag,Station Road area,Evening rush (6-8 PM),Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; evening rush (6-8 pm),2024-11-16,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00670,OFF-00212,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Kalaburagi,Sedam Road area,Evening rush (6-8 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; evening rush (6-8 pm),2023-06-22,Linked to known offender record,36-45,M,2,Repeat,Escalating frequency over last 6 months
CASE-00954,OFF-00297,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Hubballi-Dharwad,Keshwapur,Midday (12-3 PM),Relay key attack,Relay key attack; target: Parked vehicle - street; midday (12-3 pm),2025-11-16,Linked to known offender record,36-45,F,4,Repeat,Consistent MO across all recorded cases
CASE-00721,OFF-00227,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Vijayapura,Station Area,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; evening rush (6-8 pm),2023-10-07,Linked to known offender record,56+,M,3,Repeat,Long gap then resurgence with same MO
CASE-00945,OFF-00296,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Gadag,Station Road area,Late night (11 PM-2 AM),Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; late night (11 pm-2 am),2024-02-01,Linked to known offender record,26-35,M,6,Repeat,Consistent MO across all recorded cases
CASE-00639,OFF-00201,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Tumakuru,SS Puram,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; midday (12-3 pm),2025-04-18,Linked to known offender record,46-55,F,6,Repeat,Consistent MO across all recorded cases
CASE-00181,OFF-00052,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Haveri,Old Town,Early morning (4-7 AM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; early morning (4-7 am),2024-01-17,Linked to known offender record,18-25,M,5,Repeat,Consistent MO across all recorded cases
CASE-00409,OFF-00132,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Kolar,Bangarpet Road area,Weekend nights,SMS phishing link,SMS phishing link; target: Elderly account holder; weekend nights,2024-01-12,Linked to known offender record,36-45,F,4,Repeat,Alternates between two known methods
CASE-01893,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Uttara Kannada,Sirsi town,Midday (12-3 PM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; midday (12-3 pm),2024-10-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00858,OFF-00271,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Chikkamagaluru,IG Road area,Midday (12-3 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; midday (12-3 pm),2025-02-05,Linked to known offender record,46-55,M,5,Repeat,Single recorded case - insufficient pattern history
CASE-01964,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Shivamogga,Durgigudi,Late night (11 PM-2 AM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; late night (11 pm-2 am),2024-10-14,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00210,OFF-00062,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Gadag,Station Road area,Early morning (4-7 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; early morning (4-7 am),2023-08-29,Linked to known offender record,56+,M,5,Repeat,Consistent MO across all recorded cases
CASE-00385,OFF-00123,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Mangaluru (Dakshina Kannada),Kadri,Early morning (4-7 AM),Window grille cutting,Window grille cutting; target: Vacant residence; early morning (4-7 am),2023-03-18,Linked to known offender record,26-35,M,4,Repeat,Long gap then resurgence with same MO
CASE-01026,OFF-00316,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Chikkaballapur,MG Road area,Weekend nights,Late-night forced entry,Late-night forced entry; target: Jewellery shop; weekend nights,2024-08-12,Linked to known offender record,26-35,F,6,Repeat,Alternates between two known methods
CASE-00206,OFF-00060,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Ramanagara,Bengaluru-Mysuru Highway area,Weekend nights,Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; weekend nights,2023-03-11,Linked to known offender record,46-55,M,5,Repeat,Single recorded case - insufficient pattern history
CASE-00538,OFF-00169,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Shivamogga,Durgigudi,Early morning (4-7 AM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; early morning (4-7 am),2023-01-05,Linked to known offender record,18-25,F,3,Repeat,Alternates between two known methods
CASE-01456,OFF-00444,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Tumakuru,SS Puram,Midday (12-3 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; midday (12-3 pm),2025-08-10,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01463,OFF-00445,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Mysuru,Kuvempunagar,Midday (12-3 PM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; midday (12-3 pm)",2023-05-02,Linked to known offender record,46-55,F,6,Repeat,Alternates between two known methods
CASE-01225,OFF-00371,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Haveri,Old Town,Early morning (4-7 AM),SMS phishing link,SMS phishing link; target: First-time UPI user; early morning (4-7 am),2024-12-06,Linked to known offender record,36-45,M,4,Repeat,Alternates between two known methods
CASE-00741,OFF-00233,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Chikkaballapur,Bus Stand area,Midday (12-3 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; midday (12-3 pm),2023-08-23,Linked to known offender record,36-45,F,5,Repeat,Consistent MO across all recorded cases
CASE-01426,OFF-00435,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chikkamagaluru,MG Road area,Weekday mornings,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; weekday mornings,2023-06-11,Linked to known offender record,26-35,M,6,Repeat,Alternates between two known methods
CASE-00074,OFF-00020,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Tumakuru,Kunigal Road area,Midday (12-3 PM),Window grille cutting,Window grille cutting; target: Ground-floor apartment; midday (12-3 pm),2023-01-06,Linked to known offender record,46-55,M,5,Repeat,Long gap then resurgence with same MO
CASE-01561,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Tumakuru,SS Puram,Midday (12-3 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; midday (12-3 pm),2024-07-07,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01098,OFF-00333,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Belagavi,Vadgaon,Early morning (4-7 AM),Relay key attack,Relay key attack; target: Parked vehicle - street; early morning (4-7 am),2023-04-14,Linked to known offender record,26-35,F,6,Repeat,Long gap then resurgence with same MO
CASE-00654,OFF-00207,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Mandya,Ashok Nagar,Early morning (4-7 AM),Window grille cutting,Window grille cutting; target: Vacant residence; early morning (4-7 am),2024-03-19,Linked to known offender record,18-25,F,2,Repeat,Escalating frequency over last 6 months
CASE-01152,OFF-00350,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Mandya,Vidyanagar,Weekend nights,Relay key attack,Relay key attack; target: Parked vehicle - street; weekend nights,2025-03-01,Linked to known offender record,56+,M,6,Repeat,Alternates between two known methods
CASE-00816,OFF-00255,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Chikkaballapur,Bus Stand area,Late night (11 PM-2 AM),Relay key attack,Relay key attack; target: Parked vehicle - street; late night (11 pm-2 am),2023-06-21,Linked to known offender record,56+,F,6,Repeat,Escalating frequency over last 6 months
CASE-01513,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Haveri,Old Town,Midday (12-3 PM),Impersonation as utility worker,Impersonation as utility worker; target: Ground-floor apartment; midday (12-3 pm),2025-02-20,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01034,OFF-00318,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Tumakuru,Ashoknagar,Evening rush (6-8 PM),"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; evening rush (6-8 pm)",2025-12-27,Linked to known offender record,56+,M,5,Repeat,Consistent MO across all recorded cases
CASE-00898,OFF-00284,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Hassan,Vidyanagar,Early morning (4-7 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; early morning (4-7 am)",2023-02-11,Linked to known offender record,26-35,F,6,Repeat,Long gap then resurgence with same MO
CASE-01672,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Kalaburagi,Jewargi Road area,Evening rush (6-8 PM),Window grille cutting,Window grille cutting; target: Vacant residence; evening rush (6-8 pm),2025-12-07,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01166,OFF-00352,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Yadgir,Station Road area,Weekend nights,"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Lone woman pedestrian; weekend nights",2023-11-25,Linked to known offender record,46-55,M,6,Repeat,Consistent MO across all recorded cases
CASE-01832,UNASSIGNED,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Vijayapura,Jubilee Circle area,Weekday mornings,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Vacant residence; weekday mornings",2025-03-30,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00458,OFF-00147,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Mangaluru (Dakshina Kannada),Bejai,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2025-07-08,Linked to known offender record,18-25,F,2,Repeat,Long gap then resurgence with same MO
CASE-00027,OFF-00010,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Hassan,Vidyanagar,Late night (11 PM-2 AM),Crowd distraction lift,Crowd distraction lift; target: Market crowd; late night (11 pm-2 am),2024-09-25,Linked to known offender record,46-55,F,4,Repeat,Single recorded case - insufficient pattern history
CASE-01626,UNASSIGNED,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Belagavi,Camp Area,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2024-05-20,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01415,OFF-00431,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bagalkot,Navanagar,Late night (11 PM-2 AM),Relay key attack,Relay key attack; target: Parked vehicle - street; late night (11 pm-2 am),2025-11-21,Linked to known offender record,56+,F,6,Repeat,Alternates between two known methods
CASE-01978,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Belagavi,Tilakwadi,Early morning (4-7 AM),Relay key attack,Relay key attack; target: Parked vehicle - street; early morning (4-7 am),2025-11-19,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00352,OFF-00112,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Chamarajanagar,Kollegal Road area,Weekend nights,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekend nights",2025-12-04,Linked to known offender record,18-25,M,4,Repeat,Alternates between two known methods
CASE-00533,OFF-00167,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Yadgir,Station Road area,Late night (11 PM-2 AM),Relay key attack,Relay key attack; target: Parked vehicle - street; late night (11 pm-2 am),2023-02-01,Linked to known offender record,18-25,M,3,Repeat,Alternates between two known methods
CASE-01303,OFF-00393,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Hassan,Vidyanagar,Late night (11 PM-2 AM),SMS phishing link,SMS phishing link; target: Elderly account holder; late night (11 pm-2 am),2025-09-29,Linked to known offender record,26-35,M,4,Repeat,Escalating frequency over last 6 months
CASE-00180,OFF-00052,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Chikkamagaluru,IG Road area,Early morning (4-7 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; early morning (4-7 am),2025-04-13,Linked to known offender record,18-25,M,5,Repeat,Consistent MO across all recorded cases
CASE-01212,OFF-00366,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Mangaluru (Dakshina Kannada),Mangaladevi,Late night (11 PM-2 AM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; late night (11 pm-2 am),2024-12-12,Linked to known offender record,36-45,F,3,Repeat,Alternates between two known methods
CASE-01821,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,First-time UPI user,Mangaluru (Dakshina Kannada),Hampankatta,Weekday mornings,Fake bank call requesting OTP,Fake bank call requesting OTP; target: First-time UPI user; weekday mornings,2023-01-03,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01105,OFF-00335,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bagalkot,Navanagar,Evening rush (6-8 PM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; evening rush (6-8 pm),2023-05-11,Linked to known offender record,36-45,M,3,Repeat,Long gap then resurgence with same MO
CASE-01416,OFF-00432,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Chamarajanagar,Town Centre,Midday (12-3 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; midday (12-3 pm),2025-08-08,Linked to known offender record,36-45,M,5,Repeat,Long gap then resurgence with same MO
CASE-01781,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Bengaluru Rural,Devanahalli town,Late night (11 PM-2 AM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; late night (11 pm-2 am),2024-03-25,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00247,OFF-00072,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kolar,Ambedkar Nagar,Weekend nights,Late-night forced entry,Late-night forced entry; target: Small retail shop; weekend nights,2024-02-16,Linked to known offender record,18-25,F,6,Repeat,Alternates between two known methods
CASE-01497,OFF-00454,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Koppal,Gangavathi Road area,Late night (11 PM-2 AM),Cash-for-goods swap,Cash-for-goods swap; target: Currency exchange; late night (11 pm-2 am),2023-04-10,Linked to known offender record,36-45,M,5,Repeat,Alternates between two known methods
CASE-01936,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Yadgir,Station Road area,Early morning (4-7 AM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; early morning (4-7 am),2024-09-02,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00462,OFF-00148,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Mysuru,Kuvempunagar,Weekday mornings,Relay key attack,Relay key attack; target: Parked vehicle - street; weekday mornings,2024-12-21,Linked to known offender record,18-25,M,5,Repeat,Long gap then resurgence with same MO
CASE-00605,OFF-00189,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Chikkamagaluru,Kalasapura,Weekend nights,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekend nights,2023-04-30,Linked to known offender record,36-45,M,2,Repeat,Long gap then resurgence with same MO
